agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker,bucket_time,create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
80233571,0.0738,137.0,261935760,261935760,2026-01-01 00:00:03.931,True,2026-01-01 00:00:00,,,,,,,,
80233572,0.0738,127.0,261935761,261935761,2026-01-01 00:00:08.902,True,2026-01-01 00:00:00,,,,,,,,
80233573,0.0738,430.0,261935762,261935763,2026-01-01 00:00:09.814,True,2026-01-01 00:00:00,,,,,,,,
80233574,0.0739,444.0,261935764,261935765,2026-01-01 00:00:11.252,False,2026-01-01 00:00:00,,,,,,,,
80233575,0.0739,10779.0,261935766,261935770,2026-01-01 00:00:11.734,False,2026-01-01 00:00:00,,,,,,,,
80233576,0.0739,4093.0,261935771,261935776,2026-01-01 00:00:12.497,False,2026-01-01 00:00:00,,,,,,,,
80233577,0.0739,1083.0,261935777,261935777,2026-01-01 00:00:15.629,False,2026-01-01 00:00:00,,,,,,,,
80233578,0.0739,1083.0,261935778,261935778,2026-01-01 00:00:15.733,False,2026-01-01 00:00:00,,,,,,,,
80233579,0.0739,1083.0,261935779,261935779,2026-01-01 00:00:16.027,False,2026-01-01 00:00:00,,,,,,,,
80233580,0.0739,423.0,261935780,261935780,2026-01-01 00:00:16.332,False,2026-01-01 00:00:00,,,,,,,,
80233581,0.0739,26050.0,261935781,261935785,2026-01-01 00:00:40.528,True,2026-01-01 00:00:00,,,,,,,,
80233582,0.074,368.0,261935786,261935786,2026-01-01 00:00:58.552,False,2026-01-01 00:00:00,,,,,,,,
80233583,0.074,99.0,261935787,261935787,2026-01-01 00:01:00.776,False,2026-01-01 00:00:00,,,,,,,,
80233584,0.074,81.0,261935788,261935788,2026-01-01 00:01:02.846,False,2026-01-01 00:00:00,,,,,,,,
80233585,0.074,15860.0,261935789,261935796,2026-01-01 00:01:03.093,False,2026-01-01 00:00:00,,,,,,,,
80233586,0.074,284.0,261935797,261935797,2026-01-01 00:01:07.814,True,2026-01-01 00:00:00,,,,,,,,
80233587,0.074,326.0,261935798,261935798,2026-01-01 00:01:10.857,True,2026-01-01 00:00:00,,,,,,,,
80233588,0.0741,75.0,261935799,261935799,2026-01-01 00:01:22.500,False,2026-01-01 00:00:00,,,,,,,,
80233589,0.074,75.0,261935800,261935800,2026-01-01 00:01:22.861,True,2026-01-01 00:00:00,,,,,,,,
80233590,0.0741,12941.0,261935801,261935808,2026-01-01 00:01:26.063,False,2026-01-01 00:00:00,,,,,,,,
80233591,0.0742,9946.0,261935809,261935815,2026-01-01 00:01:28.057,False,2026-01-01 00:00:00,,,,,,,,
80233592,0.0742,366.0,261935816,261935816,2026-01-01 00:01:30.586,True,2026-01-01 00:00:00,,,,,,,,
80233593,0.0742,61172.0,261935817,261935828,2026-01-01 00:01:35.947,True,2026-01-01 00:00:00,,,,,,,,
80233594,0.0742,454.0,261935829,261935829,2026-01-01 00:01:36.112,False,2026-01-01 00:00:00,,,,,,,,
80233595,0.0742,2489.0,261935830,261935833,2026-01-01 00:01:40.546,False,2026-01-01 00:00:00,,,,,,,,
80233596,0.0742,477.0,261935834,261935834,2026-01-01 00:02:00.365,True,2026-01-01 00:00:00,,,,,,,,
80233597,0.0743,28497.0,261935835,261935842,2026-01-01 00:02:18.494,False,2026-01-01 00:00:00,,,,,,,,
80233598,0.0743,336.0,261935843,261935843,2026-01-01 00:02:18.823,False,2026-01-01 00:00:00,,,,,,,,
80233599,0.0743,264.0,261935844,261935844,2026-01-01 00:02:44.273,False,2026-01-01 00:00:00,,,,,,,,
80233600,0.0742,266.0,261935845,261935845,2026-01-01 00:03:00.354,True,2026-01-01 00:00:00,,,,,,,,
80233601,0.0742,137.0,261935846,261935846,2026-01-01 00:03:01.156,True,2026-01-01 00:00:00,,,,,,,,
80233602,0.0742,670.0,261935847,261935847,2026-01-01 00:03:10.372,True,2026-01-01 00:00:00,,,,,,,,
80233603,0.0743,184.0,261935848,261935848,2026-01-01 00:03:38.172,False,2026-01-01 00:00:00,,,,,,,,
80233604,0.0743,184.0,261935849,261935849,2026-01-01 00:03:38.965,False,2026-01-01 00:00:00,,,,,,,,
80233605,0.0743,9846.0,261935850,261935858,2026-01-01 00:03:42.983,False,2026-01-01 00:00:00,,,,,,,,
80233606,0.0744,1643.0,261935859,261935860,2026-01-01 00:03:43.129,False,2026-01-01 00:00:00,,,,,,,,
80233607,0.0744,1821.0,261935861,261935861,2026-01-01 00:03:43.423,False,2026-01-01 00:00:00,,,,,,,,
80233608,0.0743,1346.0,261935862,261935862,2026-01-01 00:03:45.418,True,2026-01-01 00:00:00,,,,,,,,
80233609,0.0743,678.0,261935863,261935863,2026-01-01 00:03:52.892,True,2026-01-01 00:00:00,,,,,,,,
80233610,0.0743,1348.0,261935864,261935864,2026-01-01 00:03:53.757,True,2026-01-01 00:00:00,,,,,,,,
80233611,0.0744,143.0,261935865,261935865,2026-01-01 00:04:00.647,False,2026-01-01 00:00:00,,,,,,,,
80233612,0.0743,1348.0,261935866,261935866,2026-01-01 00:04:36.213,True,2026-01-01 00:00:00,,,,,,,,
80233613,0.0743,1348.0,261935867,261935868,2026-01-01 00:04:37.060,True,2026-01-01 00:00:00,,,,,,,,
80233614,0.0744,153.0,261935869,261935869,2026-01-01 00:04:40.997,False,2026-01-01 00:00:00,,,,,,,,
80233615,0.0744,215.0,261935870,261935870,2026-01-01 00:04:51.170,False,2026-01-01 00:00:00,,,,,,,,
80233616,0.0743,150.0,261935871,261935871,2026-01-01 00:05:05.533,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233617,0.0743,132.0,261935872,261935872,2026-01-01 00:05:05.892,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233618,0.0743,414.0,261935873,261935874,2026-01-01 00:05:06.109,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233619,0.0744,1790.0,261935875,261935875,2026-01-01 00:05:09.366,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233620,0.0744,1790.0,261935876,261935876,2026-01-01 00:05:12.656,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233621,0.0744,862.0,261935877,261935877,2026-01-01 00:05:15.051,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233622,0.0744,136.0,261935878,261935878,2026-01-01 00:05:22.938,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233623,0.0744,29584.0,261935879,261935892,2026-01-01 00:05:27.879,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233624,0.0744,10177.0,261935893,261935893,2026-01-01 00:05:28.514,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233625,0.0745,454.0,261935894,261935894,2026-01-01 00:05:28.575,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233626,0.0744,32894.0,261935895,261935895,2026-01-01 00:05:28.588,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233627,0.0744,2282.0,261935896,261935902,2026-01-01 00:05:28.814,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233628,0.0744,45829.0,261935903,261935907,2026-01-01 00:05:28.993,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233629,0.0744,3838.0,261935908,261935908,2026-01-01 00:05:29.200,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233630,0.0744,1798.0,261935909,261935910,2026-01-01 00:05:29.321,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233631,0.0744,1862.0,261935911,261935914,2026-01-01 00:05:32.841,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233632,0.0743,1077.0,261935915,261935915,2026-01-01 00:06:01.925,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233633,0.0743,1077.0,261935916,261935916,2026-01-01 00:06:02.033,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233634,0.0744,120.0,261935917,261935917,2026-01-01 00:06:03.187,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233635,0.0743,1077.0,261935918,261935918,2026-01-01 00:06:04.229,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233636,0.0743,53780.0,261935919,261935935,2026-01-01 00:06:05.272,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233637,0.0743,69.0,261935936,261935936,2026-01-01 00:06:06.344,False,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233638,0.0742,1346.0,261935937,261935938,2026-01-01 00:06:08.404,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233639,0.0742,1346.0,261935939,261935939,2026-01-01 00:06:35.476,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233640,0.0742,77.0,261935940,261935940,2026-01-01 00:06:36.235,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
80233641,0.0742,13036.0,261935941,261935959,2026-01-01 00:06:39.385,True,2026-01-01 00:05:00,2026-01-01 00:05:00,POPCATUSDT,45313553.0,3370844.39445396,2.02141901,1.880158,2.02681661,1.083227
